Timestamp,SessionID,WeaponCount,AttackingAbilitiesCount,DefenseAbilitiesCount,SurviveTime,Win,RoomNumber,Level
11/20/2025 14:23:17,WEB_638992453579150000,0,3,0,35.053,FALSE,1,2
11/20/2025 14:29:02,WEB_638992456891180000,0,6,0,49.115,FALSE,1,1
11/20/2025 15:01:13,WEB_638992475646740000,0,16,1,104.764,FALSE,2,1
11/20/2025 15:04:35,WEB_638992476729190000,0,22,2,197.755,FALSE,3,1
11/20/2025 15:06:28,WEB_638992478730010000,0,10,4,110.787,FALSE,2,1
11/20/2025 15:08:10,WEB_638992479888810000,0,10,2,97.545,FALSE,1,1
11/20/2025 18:58:36,BUILD_638992615223964223,1082,6,11,392.72,TRUE,10,1
11/21/2025 20:18:11,WEB_638993529193810000,0,0,2,172.102,FALSE,6,1
11/22/2025 6:13:29,WEB_638993886369600000,69,1,2,171.371,TRUE,4,1
11/22/2025 15:23:30,WEB_638994216814660000,375,0,0,128.337,FALSE,2,1
11/22/2025 16:13:58,WEB_638994248087260000,0,2,0,28.696,FALSE,1,1
11/22/2025 16:15:21,WEB_638994248389870000,0,0,1,74.674,FALSE,2,1
11/22/2025 16:16:28,WEB_638994249216680000,0,2,1,37.28,FALSE,1,1
11/22/2025 21:05:25,WEB_638994421140110000,0,5,23,210.595,TRUE,10,1
11/22/2025 21:44:09,WEB_638994445686140000,0,0,0,80.193,FALSE,3,2
11/22/2025 21:47:21,WEB_638994446512130000,0,0,0,170.834,FALSE,5,2
11/22/2025 21:55:32,WEB_638994453215420000,4,0,0,10.392,FALSE,1,1
11/22/2025 21:55:57,WEB_638994453349630000,5,3,0,21.409,FALSE,1,1
11/23/2025 0:42:16,WEB_638994553074350000,0,0,0,28.625,FALSE,1,2
11/23/2025 0:42:47,WEB_638994553376140000,0,0,0,29.497,FALSE,1,2
11/23/2025 0:43:35,WEB_638994553725880000,0,0,0,41.899,FALSE,2,2
11/23/2025 11:53:11,WEB_638994955671570000,0,0,0,23.859,FALSE,1,1
11/23/2025 11:53:29,WEB_638994955940070000,0,0,0,15.029,FALSE,1,1
11/23/2025 11:53:56,WEB_638994956127120000,0,0,0,22.593,FALSE,1,1
11/23/2025 12:52:54,WEB_638994956559540000,0,0,0,205.493,FALSE,2,2
